feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_03674	3	3.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella; m__ref_mOTU_v31_03674
ref_mOTU_v31_00063	2	1036.0	575.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacteriaceae gen. [Kosakonia/Enterobacter]; m__ref_mOTU_v31_00063
ref_mOTU_v31_00102	2	608.0	580.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; m__ref_mOTU_v31_00102
ref_mOTU_v31_05195	2	429.0	380.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_05195
ref_mOTU_v31_00080	2	200.0	198.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Pluralibacter; m__ref_mOTU_v31_00080
ref_mOTU_v31_01685	2	96.0	95.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; m__ref_mOTU_v31_01685
meta_mOTU_v31_12259	2	61.0	59.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__meta_mOTU_v31_12259
meta_mOTU_v31_12254	2	54.0	53.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12254
ref_mOTU_v31_00801	2	45.0	44.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; m__ref_mOTU_v31_00801
ref_mOTU_v31_01039	2	40.0	28.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; m__ref_mOTU_v31_01039
