Feature ID	Taxon
meta_mOTU_v31_12662	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; m__meta_mOTU_v31_12662
meta_mOTU_v31_12701	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12701
meta_mOTU_v31_12707	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12707
meta_mOTU_v31_12755	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12755
meta_mOTU_v31_12762	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12762
meta_mOTU_v31_12766	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__meta_mOTU_v31_12766
meta_mOTU_v31_12768	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12768
meta_mOTU_v31_12775	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12775
meta_mOTU_v31_12785	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; m__meta_mOTU_v31_12785
meta_mOTU_v31_12799	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; m__meta_mOTU_v31_12799
meta_mOTU_v31_12852	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12852
meta_mOTU_v31_12873	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12873
meta_mOTU_v31_12923	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__meta_mOTU_v31_12923
meta_mOTU_v31_12952	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12952
meta_mOTU_v31_12973	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__meta_mOTU_v31_12973
meta_mOTU_v31_12983	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; m__meta_mOTU_v31_12983
meta_mOTU_v31_13006	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13006
meta_mOTU_v31_13012	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13012
meta_mOTU_v31_13135	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella; m__meta_mOTU_v31_13135
meta_mOTU_v31_13140	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13140
meta_mOTU_v31_13147	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13147
meta_mOTU_v31_13196	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_13196
meta_mOTU_v31_13218	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; m__meta_mOTU_v31_13218
meta_mOTU_v31_13253	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; m__meta_mOTU_v31_13253
meta_mOTU_v31_13280	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13280
meta_mOTU_v31_13286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_13286
meta_mOTU_v31_13295	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaeromassilibacillus; m__meta_mOTU_v31_13295
